Term,Flight No,Operator,From,Airport name,Scheduled,Estimated,Touchdown,Est Chocks,Act Chocks,Stand,Max pax,Act Pax,Conn pax
4,GF007,Gulf Air,BAH,Bahrain,05:25 22/10/2016,05:28 22/10/2016,05:28 22/10/2016,05:34 22/10/2016,05:31 22/10/2016,411,214,124,5
2,AC856,Air Canada,YYZ,Toronto,05:30 22/10/2016,05:30 22/10/2016,05:30 22/10/2016,05:40 22/10/2016,05:37 22/10/2016,238,400,340,54
5,BA216,British Airways,IAD,Washington,05:50 22/10/2016,05:31 22/10/2016,05:31 22/10/2016,05:41 22/10/2016,05:40 22/10/2016,556,469,363,189
5,BA092,British Airways,YYZ,Toronto,05:35 22/10/2016,05:32 22/10/2016,05:32 22/10/2016,05:41 22/10/2016,05:42 22/10/2016,536,275,276,121
4,QR009,Qatar Airways,DOH,Doha,06:05 22/10/2016,05:34 22/10/2016,05:34 22/10/2016,05:40 22/10/2016,05:41 22/10/2016,405,517,439,6
5,BA174,British Airways,JFK,New York,05:55 22/10/2016,05:35 22/10/2016,05:35 22/10/2016,05:43 22/10/2016,,532,275,251,148
4,WY103,Oman Air,MCT,Muscat,05:30 22/10/2016,05:37 22/10/2016,05:37 22/10/2016,05:42 22/10/2016,05:42 22/10/2016,402,230,133,1
3,AA050,American Airlines,DFW,Dallas/Ft Worth,05:55 22/10/2016,05:38 22/10/2016,05:38 22/10/2016,05:45 22/10/2016,05:45 22/10/2016,335,310,200,79
3,BA206,British Airways,MIA,Miami,05:40 22/10/2016,05:39 22/10/2016,05:39 22/10/2016,05:48 22/10/2016,,340,337,315,245
5,BA142,British Airways,DEL,Delhi,05:30 22/10/2016,05:41 22/10/2016,05:41 22/10/2016,05:50 22/10/2016,,543,226,210,96
3,VS046,Virgin Atlantic Airways,JFK,New York,06:20 22/10/2016,05:43 22/10/2016,05:43 22/10/2016,05:50 22/10/2016,,318,264,161,4
5,BA971,British Airways,HAJ,Hanover,06:00 22/10/2016,05:44 22/10/2016,05:44 22/10/2016,05:52 22/10/2016,,519,133,41,14
